
Running tests for data/mivia/si6/rand/r005/Fri Mar  8 18:35:37 CET 2013
data/mivia/si6/rand/r005/40.A64;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.10
data/mivia/si6/rand/r005/40.A65;odcull=[4] 0.08;vf2_sub1=[4] 0.11;vf2=[4] 0.49
data/mivia/si6/rand/r005/40.A66;odcull=[2] 0.07;vf2_sub1=[2] 0.10;vf2=[2] 0.11
data/mivia/si6/rand/r005/40.A67;odcull=[2] 0.08;vf2_sub1=[2] 0.16;vf2=[2] 0.10
data/mivia/si6/rand/r005/40.A68;odcull=[2] 0.09;vf2_sub1=[2] 0.10;vf2=[2] 0.13
data/mivia/si6/rand/r005/40.A69;odcull=[1] 0.07;vf2_sub1=[1] 0.12;vf2=[1] 0.08
data/mivia/si6/rand/r005/40.A70;odcull=[1] 0.07;vf2_sub1=[1] 0.12;vf2=[1] 0.06
data/mivia/si6/rand/r005/40.A71;odcull=[1] 0.10;vf2_sub1=[1] 0.11;vf2=[1] 0.16
data/mivia/si6/rand/r005/40.A72;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.17
data/mivia/si6/rand/r005/40.A73;odcull=[4] 0.09;vf2_sub1=[4] 0.10;vf2=[4] 0.17
data/mivia/si6/rand/r005/40.A74;odcull=[2] 0.08;vf2_sub1=[2] 0.10;vf2=[2] 0.14
data/mivia/si6/rand/r005/40.A75;odcull=[1] 0.11;vf2_sub1=[1] 0.09;vf2=[1] 0.58
data/mivia/si6/rand/r005/40.A76;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.20
data/mivia/si6/rand/r005/40.A77;odcull=[1] 0.09;vf2_sub1=[1] 0.10;vf2=[1] 0.21
data/mivia/si6/rand/r005/40.A78;odcull=[1] 0.07;vf2_sub1=[1] 0.11;vf2=[1] 0.09
data/mivia/si6/rand/r005/40.A79;odcull=[2] 0.08;vf2_sub1=[2] 0.10;vf2=[2] 0.15
data/mivia/si6/rand/r005/40.A80;odcull=[2] 0.08;vf2_sub1=[2] 0.10;vf2=[2] 0.14
data/mivia/si6/rand/r005/40.A81;odcull=[1] 0.07;vf2_sub1=[1] 0.10;vf2=[1] 0.06
data/mivia/si6/rand/r005/40.A82;odcull=[2] 0.07;vf2_sub1=[2] 0.14;vf2=[2] 0.11
data/mivia/si6/rand/r005/40.A83;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.50
data/mivia/si6/rand/r005/40.A84;odcull=[1] 0.07;vf2_sub1=[1] 0.10;vf2=[1] 0.07
data/mivia/si6/rand/r005/40.A85;odcull=[1] 0.07;vf2_sub1=[1] 0.10;vf2=[1] 0.05
data/mivia/si6/rand/r005/40.A86;odcull=[2] 0.08;vf2_sub1=[2] 0.09;vf2=[2] 0.13
data/mivia/si6/rand/r005/40.A87;odcull=[2] 0.09;vf2_sub1=[2] 0.10;vf2=[2] 0.49
data/mivia/si6/rand/r005/40.A88;odcull=[6] 0.09;vf2_sub1=[6] 0.10;vf2=[6] 0.21
data/mivia/si6/rand/r005/40.A89;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.09
data/mivia/si6/rand/r005/40.A90;odcull=[1] 0.08;vf2_sub1=[1] 0.15;vf2=[1] 0.08
data/mivia/si6/rand/r005/40.A91;odcull=[2] 0.09;vf2_sub1=[2] 0.10;vf2=[2] 0.14
data/mivia/si6/rand/r005/40.A92;odcull=[2] 0.07;vf2_sub1=[2] 0.10;vf2=[2] 0.08
data/mivia/si6/rand/r005/40.A93;odcull=[1] 0.08;vf2_sub1=[1] 0.10;vf2=[1] 0.21
data/mivia/si6/rand/r005/40.A94;odcull=[1] 0.09;vf2_sub1=[1] 0.13;vf2=[1] 0.21
data/mivia/si6/rand/r005/40.A95;odcull=[1] 0.08;vf2_sub1=[1] 0.09;vf2=[1] 0.55
data/mivia/si6/rand/r005/40.A96;odcull=[24] 0.11;vf2_sub1=[24] 0.31;vf2=[24] 0.44
data/mivia/si6/rand/r005/40.A97;odcull=[3] 0.09;vf2_sub1=[3] 0.12;vf2=[3] 0.23
data/mivia/si6/rand/r005/40.A98;odcull=[1] 0.09;vf2_sub1=[1] 0.10;vf2=[1] 0.59
data/mivia/si6/rand/r005/40.A99;odcull=[1] 0.08;vf2_sub1=[1] 0.11;vf2=[1] 0.09
data/mivia/si6/rand/r005/60.A00;odcull=[1] 0.19;vf2_sub1=[1] 0.17;vf2=[1] 0.10
data/mivia/si6/rand/r005/60.A01;odcull=[1] 0.43;vf2_sub1=[1] 0.21;vf2=[1] 0.59
data/mivia/si6/rand/r005/60.A02;odcull=[1] 0.47;vf2_sub1=[1] 0.20;vf2=[1] 0.55
data/mivia/si6/rand/r005/60.A03;odcull=[1] 0.23;vf2_sub1=[1] 0.18;vf2=[1] 0.19
data/mivia/si6/rand/r005/60.A04;odcull=[2] 0.27;vf2_sub1=[2] 0.23;vf2=[2] 1.11
data/mivia/si6/rand/r005/60.A05;odcull=[1] 0.24;vf2_sub1=[1] 0.23;vf2=[1] 1.34
data/mivia/si6/rand/r005/60.A06;odcull=[1] 0.34;vf2_sub1=[1] 0.19;vf2=[1] 0.43
data/mivia/si6/rand/r005/60.A07;odcull=[1] 0.19;vf2_sub1=[1] 0.18;vf2=[1] 0.19
data/mivia/si6/rand/r005/60.A08;odcull=[1] 0.49;vf2_sub1=[1] 0.20;vf2=[1] 0.41
data/mivia/si6/rand/r005/60.A09;odcull=[1] 0.19;vf2_sub1=[1] 0.18;vf2=[1] 0.88
data/mivia/si6/rand/r005/60.A10;odcull=[1] 0.19;vf2_sub1=[1] 0.18;vf2=[1] 0.69
data/mivia/si6/rand/r005/60.A11;odcull=[1] 0.18;vf2_sub1=[1] 0.20;vf2=[1] 0.41
data/mivia/si6/rand/r005/60.A12;odcull=[2] 0.20;vf2_sub1=[2] 0.21;vf2=[2] 0.43
data/mivia/si6/rand/r005/60.A13;odcull=[2] 0.29;vf2_sub1=[2] 0.18;vf2=[2] 0.19
data/mivia/si6/rand/r005/60.A14;odcull=[2] 0.24;vf2_sub1=[2] 0.23;vf2=[2] 0.57
data/mivia/si6/rand/r005/60.A15;odcull=[6] 0.18;vf2_sub1=[6] 0.18;vf2=[6] 0.16
data/mivia/si6/rand/r005/60.A16;odcull=[1] 0.21;vf2_sub1=[1] 0.21;vf2=[1] 0.66
data/mivia/si6/rand/r005/60.A17;odcull=[1] 0.24;vf2_sub1=[1] 0.21;vf2=[1] 0.32
data/mivia/si6/rand/r005/60.A18;odcull=[1] 0.19;vf2_sub1=[1] 0.18;vf2=[1] 0.41
data/mivia/si6/rand/r005/60.A19;odcull=[1] 0.18;vf2_sub1=[1] 0.20;vf2=[1] 0.72
data/mivia/si6/rand/r005/60.A20;odcull=[1] 0.21;vf2_sub1=[1] 0.20;vf2=[1] 0.42
data/mivia/si6/rand/r005/60.A21;odcull=[1] 0.22;vf2_sub1=[1] 0.19;vf2=[1] 0.20
data/mivia/si6/rand/r005/60.A22;odcull=[1] 0.17;vf2_sub1=[1] 0.18;vf2=[1] 0.16
data/mivia/si6/rand/r005/60.A23;odcull=[1] 0.17;vf2_sub1=[1] 0.20;vf2=[1] 0.68
data/mivia/si6/rand/r005/60.A24;odcull=[1] 0.17;vf2_sub1=[1] 0.19;vf2=[1] 0.82
data/mivia/si6/rand/r005/60.A25;odcull=[1] 0.18;vf2_sub1=[1] 0.18;vf2=[1] 0.41
